4922;30.04.20 11:25:21;21;Avvicinamento Pressata Fuori Ingombro;position < min position (11);20200429144209P0038;
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;202,77;0,31;0,00;0,00;
0,00;0,00;202,93;0,31;0,00;0,00;
0,00;0,00;203,09;0,31;0,00;0,00;
0,00;0,00;203,25;0,23;0,00;0,00;
0,00;0,00;203,41;0,31;0,00;0,00;
0,00;0,00;203,57;0,23;0,00;0,00;
0,00;0,00;203,73;0,23;0,00;0,00;
0,00;0,00;203,89;0,23;0,00;0,00;
0,00;0,00;204,05;0,31;0,00;0,00;
0,00;0,00;204,21;0,39;0,00;0,00;
0,00;0,00;204,37;0,23;0,00;0,00;
0,00;0,00;204,53;0,39;0,00;0,00;
0,00;0,00;204,69;0,39;0,00;0,00;
0,00;0,00;204,85;0,39;0,00;0,00;
0,00;0,00;205,01;0,47;0,00;0,00;
0,00;0,00;205,17;0,55;0,00;0,00;
0,00;0,00;205,33;0,47;0,00;0,00;
0,00;0,00;205,49;0,55;0,00;0,00;
0,00;0,00;205,65;0,55;0,00;0,00;
0,00;0,00;205,81;0,55;0,00;0,00;
0,00;0,00;205,97;0,55;0,00;0,00;
0,00;0,00;206,13;0,55;0,00;0,00;
0,00;0,00;206,29;0,55;0,00;0,00;
0,00;0,00;206,45;0,55;0,00;0,00;
0,00;0,00;206,61;0,61;0,00;0,00;
0,00;0,00;206,77;1,00;0,00;0,00;
0,00;0,00;206,84;0,53;0,00;0,00;
0,00;0,00;206,86;0,53;0,00;0,00;
0,00;0,00;206,87;0,92;0,00;0,00;
0,00;0,00;206,87;0,84;0,00;0,00;
0,00;0,00;206,86;0,84;0,00;0,00;
0,00;0,00;206,86;0,84;0,00;0,00;
0,00;0,00;206,86;0,84;0,00;0,00;
0,00;0,00;206,86;0,84;0,00;0,00;
0,00;0,00;206,86;0,84;0,00;0,00;
0,00;0,00;206,86;0,76;0,00;0,00;
0,00;0,00;206,86;0,69;0,00;0,00;
0,00;0,00;206,86;0,76;0,00;0,00;
0,00;0,00;206,86;0,84;0,00;0,00;
0,00;0,00;206,86;0,76;0,00;0,00;
0,00;0,00;206,86;0,76;0,00;0,00;
