54665;02.08.21 15:01:39;21;Avvicinamento Pressata Fuori Ingombro;position < min position (11);20210802091038P0045;
0,00;0,00;171,00;0,31;0,00;0,00;
0,00;0,00;171,16;0,31;0,00;0,00;
0,00;0,00;171,33;0,31;0,00;0,00;
0,00;0,00;171,49;0,31;0,00;0,00;
0,00;0,00;171,65;0,37;0,00;0,00;
0,00;0,00;171,81;0,31;0,00;0,00;
0,00;0,00;171,97;0,45;0,00;0,00;
0,00;0,00;172,13;0,31;0,00;0,00;
0,00;0,00;172,29;0,31;0,00;0,00;
0,00;0,00;172,45;0,45;0,00;0,00;
0,00;0,00;172,61;0,31;0,00;0,00;
0,00;0,00;172,77;0,31;0,00;0,00;
0,00;0,00;172,93;0,31;0,00;0,00;
0,00;0,00;173,09;0,31;0,00;0,00;
0,00;0,00;173,25;0,37;0,00;0,00;
0,00;0,00;173,41;0,45;0,00;0,00;
0,00;0,00;173,57;0,53;0,00;0,00;
0,00;0,00;173,73;0,31;0,00;0,00;
0,00;0,00;173,89;0,31;0,00;0,00;
0,00;0,00;174,05;0,31;0,00;0,00;
0,00;0,00;174,21;0,31;0,00;0,00;
0,00;0,00;174,37;0,31;0,00;0,00;
0,00;0,00;174,53;0,31;0,00;0,00;
0,00;0,00;174,69;0,37;0,00;0,00;
0,00;0,00;174,85;0,45;0,00;0,00;
0,00;0,00;175,01;0,37;0,00;0,00;
0,00;0,00;175,17;0,37;0,00;0,00;
0,00;0,00;175,33;0,37;0,00;0,00;
0,00;0,00;175,49;0,37;0,00;0,00;
0,00;0,00;175,65;0,31;0,00;0,00;
0,00;0,00;175,81;0,31;0,00;0,00;
0,00;0,00;175,97;0,31;0,00;0,00;
0,00;0,00;176,13;0,45;0,00;0,00;
0,00;0,00;176,29;0,31;0,00;0,00;
0,00;0,00;176,45;0,31;0,00;0,00;
0,00;0,00;176,61;0,37;0,00;0,00;
0,00;0,00;176,77;0,45;0,00;0,00;
0,00;0,00;176,93;0,53;0,00;0,00;
0,00;0,00;177,09;0,37;0,00;0,00;
0,00;0,00;177,25;0,37;0,00;0,00;
0,00;0,00;177,41;0,37;0,00;0,00;
0,00;0,00;177,57;0,37;0,00;0,00;
0,00;0,00;177,73;0,45;0,00;0,00;
0,00;0,00;177,89;0,37;0,00;0,00;
0,00;0,00;178,05;0,45;0,00;0,00;
0,00;0,00;178,21;0,45;0,00;0,00;
0,00;0,00;178,37;0,37;0,00;0,00;
0,00;0,00;178,53;0,61;0,00;0,00;
0,00;0,00;178,69;0,45;0,00;0,00;
0,00;0,00;178,85;0,61;0,00;0,00;
0,00;0,00;179,01;0,45;0,00;0,00;
0,00;0,00;179,17;0,45;0,00;0,00;
0,00;0,00;179,33;0,53;0,00;0,00;
0,00;0,00;179,49;0,53;0,00;0,00;
0,00;0,00;179,65;0,53;0,00;0,00;
0,00;0,00;179,81;0,45;0,00;0,00;
0,00;0,00;179,97;0,61;0,00;0,00;
0,00;0,00;180,13;0,53;0,00;0,00;
0,00;0,00;180,29;0,53;0,00;0,00;
0,00;0,00;180,45;0,53;0,00;0,00;
0,00;0,00;180,61;0,37;0,00;0,00;
0,00;0,00;180,77;0,37;0,00;0,00;
0,00;0,00;180,93;0,37;0,00;0,00;
0,00;0,00;181,09;0,53;0,00;0,00;
0,00;0,00;181,25;0,45;0,00;0,00;
0,00;0,00;181,41;0,45;0,00;0,00;
0,00;0,00;181,57;0,45;0,00;0,00;
0,00;0,00;181,73;0,45;0,00;0,00;
0,00;0,00;181,89;0,61;0,00;0,00;
0,00;0,00;182,05;0,45;0,00;0,00;
0,00;0,00;182,21;0,37;0,00;0,00;
0,00;0,00;182,37;0,45;0,00;0,00;
0,00;0,00;182,53;0,37;0,00;0,00;
0,00;0,00;182,69;0,45;0,00;0,00;
0,00;0,00;182,85;0,45;0,00;0,00;
0,00;0,00;183,01;0,45;0,00;0,00;
0,00;0,00;183,17;0,37;0,00;0,00;
0,00;0,00;183,33;0,45;0,00;0,00;
0,00;0,00;183,49;0,45;0,00;0,00;
0,00;0,00;183,65;0,45;0,00;0,00;
0,00;0,00;183,81;0,37;0,00;0,00;
0,00;0,00;183,97;0,45;0,00;0,00;
0,00;0,00;184,13;0,31;0,00;0,00;
0,00;0,00;184,29;0,37;0,00;0,00;
0,00;0,00;184,45;0,37;0,00;0,00;
0,00;0,00;184,61;0,37;0,00;0,00;
0,00;0,00;184,77;0,53;0,00;0,00;
0,00;0,00;184,93;0,53;0,00;0,00;
0,00;0,00;185,09;0,45;0,00;0,00;
0,00;0,00;185,25;0,37;0,00;0,00;
0,00;0,00;185,41;0,53;0,00;0,00;
0,00;0,00;185,57;0,53;0,00;0,00;
0,00;0,00;185,73;0,61;0,00;0,00;
0,00;0,00;185,89;0,53;0,00;0,00;
0,00;0,00;186,05;0,53;0,00;0,00;
0,00;0,00;186,21;0,53;0,00;0,00;
0,00;0,00;186,37;0,53;0,00;0,00;
0,00;0,00;186,53;0,53;0,00;0,00;
0,00;0,00;186,69;0,53;0,00;0,00;
0,00;0,00;186,85;0,45;0,00;0,00;
0,00;0,00;187,01;0,53;0,00;0,00;
0,00;0,00;187,17;0,45;0,00;0,00;
0,00;0,00;187,33;0,53;0,00;0,00;
0,00;0,00;187,49;0,45;0,00;0,00;
0,00;0,00;187,65;0,37;0,00;0,00;
0,00;0,00;187,81;0,37;0,00;0,00;
0,00;0,00;187,97;0,61;0,00;0,00;
0,00;0,00;188,13;0,37;0,00;0,00;
0,00;0,00;188,29;0,53;0,00;0,00;
0,00;0,00;188,45;0,45;0,00;0,00;
0,00;0,00;188,61;0,61;0,00;0,00;
0,00;0,00;188,77;0,45;0,00;0,00;
0,00;0,00;188,93;0,37;0,00;0,00;
0,00;0,00;189,09;0,45;0,00;0,00;
0,00;0,00;189,25;0,31;0,00;0,00;
0,00;0,00;189,41;0,37;0,00;0,00;
0,00;0,00;189,57;0,45;0,00;0,00;
0,00;0,00;189,73;0,53;0,00;0,00;
0,00;0,00;189,89;0,37;0,00;0,00;
0,00;0,00;190,05;0,53;0,00;0,00;
0,00;0,00;190,21;0,53;0,00;0,00;
0,00;0,00;190,37;0,53;0,00;0,00;
0,00;0,00;190,53;0,45;0,00;0,00;
0,00;0,00;190,69;1,59;0,00;0,00;
0,00;0,00;190,83;10,87;0,00;0,00;
0,00;0,00;190,98;11,95;0,00;0,00;
0,00;0,00;191,15;11,95;0,00;0,00;
0,00;0,00;191,32;12,18;0,00;0,00;
0,00;0,00;191,48;12,18;0,00;0,00;
0,00;0,00;191,65;12,24;0,00;0,00;
0,00;0,00;191,81;12,48;0,00;0,00;
0,00;0,00;191,97;12,55;0,00;0,00;
0,00;0,00;192,13;12,87;0,00;0,00;
0,00;0,00;192,29;12,94;0,00;0,00;
0,00;0,00;192,45;13,10;0,00;0,00;
0,00;0,00;192,61;13,39;0,00;0,00;
0,00;0,00;192,77;13,47;0,00;0,00;
0,00;0,00;192,93;13,71;0,00;0,00;
0,00;0,00;193,09;13,85;0,00;0,00;
0,00;0,00;193,25;14,00;0,00;0,00;
0,00;0,00;193,41;14,00;0,00;0,00;
0,00;0,00;193,57;14,24;0,00;0,00;
0,00;0,00;193,73;14,45;0,00;0,00;
0,00;0,00;193,89;14,53;0,00;0,00;
0,00;0,00;194,05;14,92;0,00;0,00;
0,00;0,00;194,21;14,98;0,00;0,00;
0,00;0,00;194,37;15,22;0,00;0,00;
0,00;0,00;194,53;15,45;0,00;0,00;
0,00;0,00;194,69;15,82;0,00;0,00;
0,00;0,00;194,85;15,98;0,00;0,00;
0,00;0,00;195,01;16,14;0,00;0,00;
0,00;0,00;195,17;16,45;0,00;0,00;
0,00;0,00;195,33;16,74;0,00;0,00;
0,00;0,00;195,49;17,06;0,00;0,00;
0,00;0,00;195,65;17,35;0,00;0,00;
0,00;0,00;195,81;17,58;0,00;0,00;
0,00;0,00;195,97;17,72;0,00;0,00;
0,00;0,00;196,13;18,19;0,00;0,00;
0,00;0,00;196,29;18,41;0,00;0,00;
0,00;0,00;196,45;18,72;0,00;0,00;
0,00;0,00;196,61;18,88;0,00;0,00;
0,00;0,00;196,77;19,19;0,00;0,00;
0,00;0,00;196,93;19,48;0,00;0,00;
0,00;0,00;197,09;19,64;0,00;0,00;
0,00;0,00;197,25;19,86;0,00;0,00;
0,00;0,00;197,35;18,64;0,00;0,00;
0,00;0,00;197,36;17,80;0,00;0,00;
0,00;0,00;197,37;18,04;0,00;0,00;
0,00;0,00;197,37;17,27;0,00;0,00;
0,00;0,00;197,37;17,06;0,00;0,00;
0,00;0,00;197,37;16,98;0,00;0,00;
0,00;0,00;197,37;16,74;0,00;0,00;
0,00;0,00;197,36;16,74;0,00;0,00;
0,00;0,00;197,36;16,67;0,00;0,00;
0,00;0,00;197,36;16,45;0,00;0,00;
0,00;0,00;197,36;16,45;0,00;0,00;
0,00;0,00;197,36;16,45;0,00;0,00;
0,00;0,00;197,36;16,45;0,00;0,00;
0,00;0,00;197,36;16,21;0,00;0,00;
